Animal,Vaccine,Montefiori Neutralization Ab Data.ID50 in TZM-bl Cells.Serum Neutralization SIVmac251.6
R220,Ad26 ALVACSIV/gp120 ALUM,233470
R224,Ad26 ALVACSIV/gp120 ALUM,171621
R227,Ad26 ALVACSIV/gp120 ALUM,424760
R230,Ad26 ALVACSIV/gp120 ALUM,107354
R233,Ad26 ALVACSIV/gp120 ALUM,>2343750
R237,Ad26 ALVACSIV/gp120 ALUM,49385
R254,Ad26 ALVACSIV/gp120 ALUM,2196819
R259,Ad26 ALVACSIV/gp120 ALUM,19012
R265,Ad26 ALVACSIV/gp120 ALUM,675407
R270,Ad26 ALVACSIV/gp120 ALUM,>2343750
R275,Ad26 ALVACSIV/gp120 ALUM,365976
R409,Ad26 ALVACSIV/gp120 ALUM,692496
R218,DNA ALVACSIV/gp120-ALUM,19249
R222,DNA ALVACSIV/gp120-ALUM,1887035
R226,DNA ALVACSIV/gp120-ALUM,24554
R231,DNA ALVACSIV/gp120-ALUM,113138
R235,DNA ALVACSIV/gp120-ALUM,4087
R239,DNA ALVACSIV/gp120-ALUM,35660
R255,DNA ALVACSIV/gp120-ALUM,58379
R257,DNA ALVACSIV/gp120-ALUM,29773
R261,DNA ALVACSIV/gp120-ALUM,12548
R268,DNA ALVACSIV/gp120-ALUM,91561
R273,DNA ALVACSIV/gp120-ALUM,27907
R278,DNA ALVACSIV/gp120-ALUM,344904
P659,Na夫e,<30
P705,Na夫e,<30
P712,Na夫e,<30
P716,Na夫e,<30
R156,Na夫e,<30
R166,Na夫e,<30