Sample name,title,source name,organism,idat file,characteristics: donor,characteristics: immunization,characteristics: time after immunization,characteristics: prime,characteristics: number of SIV challenge to infection,molecule,label,description,platform
V43DNA_R218_prevax,blood sample from donor R218 taken pre-vaccination,Blood sample from donor R218,Macaca mullatta,9447848057_F_Grn.idat,R218,prevax,NA,DNA,3,total RNA,biotin,transcriptional profilling of blood taken pre-vaccination (week -1),GPL10558
V43DNA_R218_24hours_post1stALVAC,blood sample from donor R218 taken 24 hours after the 1st ALVAC boost,Blood sample from donor R218,Macaca mullatta,9479187062_H_Grn.idat,R218,post1stALVAC,24 hours,DNA,3,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 1st ALVAC boost  (week 12),GPL10558
V43DNA_R218_2weeks_post1stALVAC,blood sample from donor R218 taken 2 weeks after the 1st ALVAC boost,Blood sample from donor R218,Macaca mullatta,9477874137_J_Grn.idat,R218,post1stALVAC,2 weeks,DNA,3,total RNA,biotin,transcriptional profilling of blood taken 2 weeks after the 1st ALVAC boost  (week 14),GPL10558
V43DNA_R218_24hours_post2ndALVAC,blood sample from donor R218 taken 24 hours after the 2nd ALVAC boost,Blood sample from donor R218,Macaca mullatta,9461595127_G_Grn.idat,R218,post2ndALVAC,24 hours,DNA,3,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 2nd ALVAC boost  (week 24),GPL10558
V43DNA_R218_1week_post2ndALVAC,blood sample from donor R218 taken 1 week after the 2nd ALVAC boost,Blood sample from donor R218,Macaca mullatta,9447848057_B_Grn.idat,R218,post2ndALVAC,1 week,DNA,3,total RNA,biotin,transcriptional profilling of blood taken 1 week after the 2nd ALVAC boost  (week 25),GPL10558
V43DNA_R220_prevax,blood sample from donor R220 taken pre-vaccination,Blood sample from donor R220,Macaca mullatta,9479187105_B_Grn.idat,R220,prevax,NA,Ad26,1,total RNA,biotin,transcriptional profilling of blood taken pre-vaccination (week -1),GPL10558
V43DNA_R220_24hours_post1stALVAC,blood sample from donor R220 taken 24 hours after the 1st ALVAC boost,Blood sample from donor R220,Macaca mullatta,9479187062_C_Grn.idat,R220,post1stALVAC,24 hours,Ad26,1,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 1st ALVAC boost  (week 12),GPL10558
V43DNA_R220_2weeks_post1stALVAC,blood sample from donor R220 taken 2 weeks after the 1st ALVAC boost,Blood sample from donor R220,Macaca mullatta,9461595109_A_Grn.idat,R220,post1stALVAC,2 weeks,Ad26,1,total RNA,biotin,transcriptional profilling of blood taken 2 weeks after the 1st ALVAC boost  (week 14),GPL10558
V43DNA_R220_24hours_post2ndALVAC,blood sample from donor R220 taken 24 hours after the 2nd ALVAC boost,Blood sample from donor R220,Macaca mullatta,9461595127_L_Grn.idat,R220,post2ndALVAC,24 hours,Ad26,1,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 2nd ALVAC boost  (week 24),GPL10558
V43DNA_R220_1week_post2ndALVAC,blood sample from donor R220 taken 1 week after the 2nd ALVAC boost,Blood sample from donor R220,Macaca mullatta,9479187105_E_Grn.idat,R220,post2ndALVAC,1 week,Ad26,1,total RNA,biotin,transcriptional profilling of blood taken 1 week after the 2nd ALVAC boost  (week 25),GPL10558
V43DNA_R222_prevax,blood sample from donor R222 taken pre-vaccination,Blood sample from donor R222,Macaca mullatta,9461595132_A_Grn.idat,R222,prevax,NA,DNA,6,total RNA,biotin,transcriptional profilling of blood taken pre-vaccination (week -1),GPL10558
V43DNA_R222_24hours_post1stALVAC,blood sample from donor R222 taken 24 hours after the 1st ALVAC boost,Blood sample from donor R222,Macaca mullatta,9479187107_C_Grn.idat,R222,post1stALVAC,24 hours,DNA,6,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 1st ALVAC boost  (week 12),GPL10558
V43DNA_R222_2weeks_post1stALVAC,blood sample from donor R222 taken 2 weeks after the 1st ALVAC boost,Blood sample from donor R222,Macaca mullatta,9461595132_C_Grn.idat,R222,post1stALVAC,2 weeks,DNA,6,total RNA,biotin,transcriptional profilling of blood taken 2 weeks after the 1st ALVAC boost  (week 14),GPL10558
V43DNA_R222_24hours_post2ndALVAC,blood sample from donor R222 taken 24 hours after the 2nd ALVAC boost,Blood sample from donor R222,Macaca mullatta,9461595132_D_Grn.idat,R222,post2ndALVAC,24 hours,DNA,6,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 2nd ALVAC boost  (week 24),GPL10558
V43DNA_R222_1week_post2ndALVAC,blood sample from donor R222 taken 1 week after the 2nd ALVAC boost,Blood sample from donor R222,Macaca mullatta,9479187107_K_Grn.idat,R222,post2ndALVAC,1 week,DNA,6,total RNA,biotin,transcriptional profilling of blood taken 1 week after the 2nd ALVAC boost  (week 25),GPL10558
V43DNA_R224_prevax,blood sample from donor R224 taken pre-vaccination,Blood sample from donor R224,Macaca mullatta,9446908109_K_Grn.idat,R224,prevax,NA,Ad26,1,total RNA,biotin,transcriptional profilling of blood taken pre-vaccination (week -1),GPL10558
V43DNA_R224_24hours_post1stALVAC,blood sample from donor R224 taken 24 hours after the 1st ALVAC boost,Blood sample from donor R224,Macaca mullatta,9479187062_A_Grn.idat,R224,post1stALVAC,24 hours,Ad26,1,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 1st ALVAC boost  (week 12),GPL10558
V43DNA_R224_2weeks_post1stALVAC,blood sample from donor R224 taken 2 weeks after the 1st ALVAC boost,Blood sample from donor R224,Macaca mullatta,9479187100_K_Grn.idat,R224,post1stALVAC,2 weeks,Ad26,1,total RNA,biotin,transcriptional profilling of blood taken 2 weeks after the 1st ALVAC boost  (week 14),GPL10558
V43DNA_R224_24hours_post2ndALVAC,blood sample from donor R224 taken 24 hours after the 2nd ALVAC boost,Blood sample from donor R224,Macaca mullatta,9446908109_C_Grn.idat,R224,post2ndALVAC,24 hours,Ad26,1,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 2nd ALVAC boost  (week 24),GPL10558
V43DNA_R224_1week_post2ndALVAC,blood sample from donor R224 taken 1 week after the 2nd ALVAC boost,Blood sample from donor R224,Macaca mullatta,9447848057_I_Grn.idat,R224,post2ndALVAC,1 week,Ad26,1,total RNA,biotin,transcriptional profilling of blood taken 1 week after the 2nd ALVAC boost  (week 25),GPL10558
V43DNA_R226_prevax,blood sample from donor R226 taken pre-vaccination,Blood sample from donor R226,Macaca mullatta,9461595127_I_Grn.idat,R226,prevax,NA,DNA,1,total RNA,biotin,transcriptional profilling of blood taken pre-vaccination (week -1),GPL10558
V43DNA_R226_24hours_post1stALVAC,blood sample from donor R226 taken 24 hours after the 1st ALVAC boost,Blood sample from donor R226,Macaca mullatta,9479187062_L_Grn.idat,R226,post1stALVAC,24 hours,DNA,1,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 1st ALVAC boost  (week 12),GPL10558
V43DNA_R226_2weeks_post1stALVAC,blood sample from donor R226 taken 2 weeks after the 1st ALVAC boost,Blood sample from donor R226,Macaca mullatta,9446908109_F_Grn.idat,R226,post1stALVAC,2 weeks,DNA,1,total RNA,biotin,transcriptional profilling of blood taken 2 weeks after the 1st ALVAC boost  (week 14),GPL10558
V43DNA_R226_24hours_post2ndALVAC,blood sample from donor R226 taken 24 hours after the 2nd ALVAC boost,Blood sample from donor R226,Macaca mullatta,9479187100_B_Grn.idat,R226,post2ndALVAC,24 hours,DNA,1,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 2nd ALVAC boost  (week 24),GPL10558
V43DNA_R226_1week_post2ndALVAC,blood sample from donor R226 taken 1 week after the 2nd ALVAC boost,Blood sample from donor R226,Macaca mullatta,9461595132_G_Grn.idat,R226,post2ndALVAC,1 week,DNA,1,total RNA,biotin,transcriptional profilling of blood taken 1 week after the 2nd ALVAC boost  (week 25),GPL10558
V43DNA_R227_prevax,blood sample from donor R227 taken pre-vaccination,Blood sample from donor R227,Macaca mullatta,9461595109_F_Grn.idat,R227,prevax,NA,Ad26,2,total RNA,biotin,transcriptional profilling of blood taken pre-vaccination (week -1),GPL10558
V43DNA_R227_24hours_post1stALVAC,blood sample from donor R227 taken 24 hours after the 1st ALVAC boost,Blood sample from donor R227,Macaca mullatta,9447848057_J_Grn.idat,R227,post1stALVAC,24 hours,Ad26,2,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 1st ALVAC boost  (week 12),GPL10558
V43DNA_R227_2weeks_post1stALVAC,blood sample from donor R227 taken 2 weeks after the 1st ALVAC boost,Blood sample from donor R227,Macaca mullatta,9479187107_D_Grn.idat,R227,post1stALVAC,2 weeks,Ad26,2,total RNA,biotin,transcriptional profilling of blood taken 2 weeks after the 1st ALVAC boost  (week 14),GPL10558
V43DNA_R227_24hours_post2ndALVAC,blood sample from donor R227 taken 24 hours after the 2nd ALVAC boost,Blood sample from donor R227,Macaca mullatta,9479187105_C_Grn.idat,R227,post2ndALVAC,24 hours,Ad26,2,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 2nd ALVAC boost  (week 24),GPL10558
V43DNA_R227_1week_post2ndALVAC,blood sample from donor R227 taken 1 week after the 2nd ALVAC boost,Blood sample from donor R227,Macaca mullatta,9479187100_A_Grn.idat,R227,post2ndALVAC,1 week,Ad26,2,total RNA,biotin,transcriptional profilling of blood taken 1 week after the 2nd ALVAC boost  (week 25),GPL10558
V43DNA_R230_prevax,blood sample from donor R230 taken pre-vaccination,Blood sample from donor R230,Macaca mullatta,9462064007_D_Grn.idat,R230,prevax,NA,Ad26,5,total RNA,biotin,transcriptional profilling of blood taken pre-vaccination (week -1),GPL10558
V43DNA_R230_24hours_post1stALVAC,blood sample from donor R230 taken 24 hours after the 1st ALVAC boost,Blood sample from donor R230,Macaca mullatta,9479187062_I_Grn.idat,R230,post1stALVAC,24 hours,Ad26,5,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 1st ALVAC boost  (week 12),GPL10558
V43DNA_R230_2weeks_post1stALVAC,blood sample from donor R230 taken 2 weeks after the 1st ALVAC boost,Blood sample from donor R230,Macaca mullatta,9479187105_A_Grn.idat,R230,post1stALVAC,2 weeks,Ad26,5,total RNA,biotin,transcriptional profilling of blood taken 2 weeks after the 1st ALVAC boost  (week 14),GPL10558
V43DNA_R230_24hours_post2ndALVAC,blood sample from donor R230 taken 24 hours after the 2nd ALVAC boost,Blood sample from donor R230,Macaca mullatta,9461595127_H_Grn.idat,R230,post2ndALVAC,24 hours,Ad26,5,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 2nd ALVAC boost  (week 24),GPL10558
V43DNA_R230_1week_post2ndALVAC,blood sample from donor R230 taken 1 week after the 2nd ALVAC boost,Blood sample from donor R230,Macaca mullatta,9462064007_B_Grn.idat,R230,post2ndALVAC,1 week,Ad26,5,total RNA,biotin,transcriptional profilling of blood taken 1 week after the 2nd ALVAC boost  (week 25),GPL10558
V43DNA_R231_prevax,blood sample from donor R231 taken pre-vaccination,Blood sample from donor R231,Macaca mullatta,9461595132_L_Grn.idat,R231,prevax,NA,DNA,1,total RNA,biotin,transcriptional profilling of blood taken pre-vaccination (week -1),GPL10558
V43DNA_R231_24hours_post1stALVAC,blood sample from donor R231 taken 24 hours after the 1st ALVAC boost,Blood sample from donor R231,Macaca mullatta,9446908109_A_Grn.idat,R231,post1stALVAC,24 hours,DNA,1,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 1st ALVAC boost  (week 12),GPL10558
V43DNA_R231_2weeks_post1stALVAC,blood sample from donor R231 taken 2 weeks after the 1st ALVAC boost,Blood sample from donor R231,Macaca mullatta,9461595127_D_Grn.idat,R231,post1stALVAC,2 weeks,DNA,1,total RNA,biotin,transcriptional profilling of blood taken 2 weeks after the 1st ALVAC boost  (week 14),GPL10558
V43DNA_R231_24hours_post2ndALVAC,blood sample from donor R231 taken 24 hours after the 2nd ALVAC boost,Blood sample from donor R231,Macaca mullatta,9462064007_I_Grn.idat,R231,post2ndALVAC,24 hours,DNA,1,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 2nd ALVAC boost  (week 24),GPL10558
V43DNA_R231_1week_post2ndALVAC,blood sample from donor R231 taken 1 week after the 2nd ALVAC boost,Blood sample from donor R231,Macaca mullatta,9479187107_A_Grn.idat,R231,post2ndALVAC,1 week,DNA,1,total RNA,biotin,transcriptional profilling of blood taken 1 week after the 2nd ALVAC boost  (week 25),GPL10558
V43DNA_R233_prevax,blood sample from donor R233 taken pre-vaccination,Blood sample from donor R233,Macaca mullatta,9461595127_A_Grn.idat,R233,prevax,NA,Ad26,3,total RNA,biotin,transcriptional profilling of blood taken pre-vaccination (week -1),GPL10558
V43DNA_R233_24hours_post1stALVAC,blood sample from donor R233 taken 24 hours after the 1st ALVAC boost,Blood sample from donor R233,Macaca mullatta,9479187107_F_Grn.idat,R233,post1stALVAC,24 hours,Ad26,3,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 1st ALVAC boost  (week 12),GPL10558
V43DNA_R233_2weeks_post1stALVAC,blood sample from donor R233 taken 2 weeks after the 1st ALVAC boost,Blood sample from donor R233,Macaca mullatta,9461595132_E_Grn.idat,R233,post1stALVAC,2 weeks,Ad26,3,total RNA,biotin,transcriptional profilling of blood taken 2 weeks after the 1st ALVAC boost  (week 14),GPL10558
V43DNA_R233_24hours_post2ndALVAC,blood sample from donor R233 taken 24 hours after the 2nd ALVAC boost,Blood sample from donor R233,Macaca mullatta,9461595109_H_Grn.idat,R233,post2ndALVAC,24 hours,Ad26,3,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 2nd ALVAC boost  (week 24),GPL10558
V43DNA_R233_1week_post2ndALVAC,blood sample from donor R233 taken 1 week after the 2nd ALVAC boost,Blood sample from donor R233,Macaca mullatta,9461595109_G_Grn.idat,R233,post2ndALVAC,1 week,Ad26,3,total RNA,biotin,transcriptional profilling of blood taken 1 week after the 2nd ALVAC boost  (week 25),GPL10558
V43DNA_R235_prevax,blood sample from donor R235 taken pre-vaccination,Blood sample from donor R235,Macaca mullatta,9446908109_L_Grn.idat,R235,prevax,NA,DNA,4,total RNA,biotin,transcriptional profilling of blood taken pre-vaccination (week -1),GPL10558
V43DNA_R235_24hours_post1stALVAC,blood sample from donor R235 taken 24 hours after the 1st ALVAC boost,Blood sample from donor R235,Macaca mullatta,9447848057_H_Grn.idat,R235,post1stALVAC,24 hours,DNA,4,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 1st ALVAC boost  (week 12),GPL10558
V43DNA_R235_2weeks_post1stALVAC,blood sample from donor R235 taken 2 weeks after the 1st ALVAC boost,Blood sample from donor R235,Macaca mullatta,9479187105_G_Grn.idat,R235,post1stALVAC,2 weeks,DNA,4,total RNA,biotin,transcriptional profilling of blood taken 2 weeks after the 1st ALVAC boost  (week 14),GPL10558
V43DNA_R235_24hours_post2ndALVAC,blood sample from donor R235 taken 24 hours after the 2nd ALVAC boost,Blood sample from donor R235,Macaca mullatta,9461595132_K_Grn.idat,R235,post2ndALVAC,24 hours,DNA,4,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 2nd ALVAC boost  (week 24),GPL10558
V43DNA_R235_1week_post2ndALVAC,blood sample from donor R235 taken 1 week after the 2nd ALVAC boost,Blood sample from donor R235,Macaca mullatta,9446908109_J_Grn.idat,R235,post2ndALVAC,1 week,DNA,4,total RNA,biotin,transcriptional profilling of blood taken 1 week after the 2nd ALVAC boost  (week 25),GPL10558
V43DNA_R237_prevax,blood sample from donor R237 taken pre-vaccination,Blood sample from donor R237,Macaca mullatta,9446908109_B_Grn.idat,R237,prevax,NA,Ad26,2,total RNA,biotin,transcriptional profilling of blood taken pre-vaccination (week -1),GPL10558
V43DNA_R237_24hours_post1stALVAC,blood sample from donor R237 taken 24 hours after the 1st ALVAC boost,Blood sample from donor R237,Macaca mullatta,9461595127_B_Grn.idat,R237,post1stALVAC,24 hours,Ad26,2,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 1st ALVAC boost  (week 12),GPL10558
V43DNA_R237_2weeks_post1stALVAC,blood sample from donor R237 taken 2 weeks after the 1st ALVAC boost,Blood sample from donor R237,Macaca mullatta,9479187100_E_Grn.idat,R237,post1stALVAC,2 weeks,Ad26,2,total RNA,biotin,transcriptional profilling of blood taken 2 weeks after the 1st ALVAC boost  (week 14),GPL10558
V43DNA_R237_24hours_post2ndALVAC,blood sample from donor R237 taken 24 hours after the 2nd ALVAC boost,Blood sample from donor R237,Macaca mullatta,9479187107_G_Grn.idat,R237,post2ndALVAC,24 hours,Ad26,2,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 2nd ALVAC boost  (week 24),GPL10558
V43DNA_R237_1week_post2ndALVAC,blood sample from donor R237 taken 1 week after the 2nd ALVAC boost,Blood sample from donor R237,Macaca mullatta,9461595109_B_Grn.idat,R237,post2ndALVAC,1 week,Ad26,2,total RNA,biotin,transcriptional profilling of blood taken 1 week after the 2nd ALVAC boost  (week 25),GPL10558
V43DNA_R239_prevax,blood sample from donor R239 taken pre-vaccination,Blood sample from donor R239,Macaca mullatta,9447848057_E_Grn.idat,R239,prevax,NA,DNA,2,total RNA,biotin,transcriptional profilling of blood taken pre-vaccination (week -1),GPL10558
V43DNA_R239_24hours_post1stALVAC,blood sample from donor R239 taken 24 hours after the 1st ALVAC boost,Blood sample from donor R239,Macaca mullatta,9462064007_H_Grn.idat,R239,post1stALVAC,24 hours,DNA,2,total RNA,biotin,transcriptional profilling of blood taken 24 hours after the 1st ALVAC boost  (week 12),GPL10558
